"USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison"
"3 mile so RMBL","3 mile so RMBL","3 mile so RMBL","3 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL"
"38.895 N, -106.892 W","38.895 N, -106.892 W","38.895 N, -106.892 W","38.895 N, -106.892 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W"
"6/4/21 col. MC","6/4/21 col. KA","6/4/21 col. MC","6/4/21 col. MC","6/9/21 col. TL","6/9/21 col. MC","6/9/21 col. BB","6/9/21 col. BB","6/9/21 col. TL","6/9/21 col. TL"
"USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison"
"1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL","1.5 mile so RMBL"
"38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W","38.945 N, -106.981 W"
"6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. TL","6/9/21 col. MC","6/9/21 col. MC"
"USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison"
"1.5 mile so RMBL","1.5 mile so RMBL","5.5 miles w Crested Butte","5.5 miles w Crested Butte","5.5 miles w Crested Butte","5.5 miles w Crested Butte","5.5 miles w Crested Butte","5.5 miles w Crested Butte","5.5 miles w Crested Butte","5.5 miles w Crested Butte"
"38.945 N, -106.981 W","38.945 N, -106.981 W","38.85 N, -107.101 W","38.85 N, -107.101 W","38.85 N, -107.101 W","38.85 N, -107.101 W","38.85 N, -107.101 W","38.85 N, -107.101 W","38.85 N, -107.101 W","38.85 N, -107.101 W"
"6/9/21 col. MC","6/9/21 col. MDS","6/9/21 col. AS","6/9/21 col. KA","6/9/21 col. KA","6/9/21 col. KA","6/9/21 col. KA","6/9/21 col. KA","6/9/21 col. AS","6/9/21 col. AS"
"USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison"
"3 mile so RMBL","3 mile so RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL"
"38.895 N, -106.892 W","38.895 N, -106.892 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W"
"6/10/21 col. MC","6/10/21 col. MC","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. MC"
"USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison"
"1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL"
"38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W"
"6/14/21 col. MC","6/14/21 col. MC","6/14/21 col. MC","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MDS","6/14/21 col. MC"
"USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison","USA CO Gunnison"
"1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL","1.5 mile no RMBL"
"38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W","38.99 N, -107.012 W"
"6/14/21 col. MC","6/14/21 col. MC","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS","6/14/21 col. AS"
